video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=OdoECkNgENE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCL7aOpP89MGVXrPu7Pzhhpw,Gaither Music TV,"Ben Speer, Wesley Pritchard, Terry Blackwood - I'm Standing On the Solid Rock [Live]",193K weergaven,11 jaar geleden,"Ben Speer, Wesley Pritchard, Terry Blackwood - Official Video for 'I'm Standing On the Solid Rock [Live]', available now! Buy the ...",2024-01-28 22:10:44.729057
/watch?v=Vr2zE69jIcQ&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBCTheNational,CBC News: The National,Standing Rock and Sioux Nation,"9,1K weergaven",7 jaar geleden,Voice Your Opinion & Connect With Us Online: The National Updates on Facebook: https://www.facebook.com/thenational The ...,2024-01-28 22:10:44.733079
/watch?v=ycupu6z4gEE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@aljazeeraenglish,Al Jazeera English,The Stream - Pipeline standoff at Standing Rock,83K weergaven,7 jaar geleden,On The Stream: Native Americans protest a massive oil pipeline in the US state of North Dakota.,2024-01-28 22:10:44.736030
/watch?v=EyfyqX4raCk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@TEDx,TEDx Talks,Standing Rock: The Power of Telling Our Own Story | Josue Rivas | TEDxRapidCity,"8,1K weergaven",6 jaar geleden,L.A.-based photographer and filmmaker Josue Rivas gained national attention for his work covering Standing Rock. In this moving ...,2024-01-28 22:10:44.741767
/watch?v=CYnLOCelzjw&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ajplus,AJ+,UW Madison Basketball Star Stands With Standing Rock,"5,8K weergaven",7 jaar geleden,"Bronson Koenig is a basketball player, a hero in the Native American community and an advocate for indigenous issues. On Sept.",2024-01-28 22:10:44.747991
/watch?v=LOLu3N_TeVM&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBCNews,CBC News,Veterans standing up for Standing Rock,31K weergaven,7 jaar geleden,"Connect with CBC News Online: For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iX Find CBC News on ...",2024-01-28 22:10:44.750372
/watch?v=swv6hhsgxP0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@globalnews,Global News,New Zealand man performs Haka for Standing Rock Protesters in North Dakota,25K weergaven,7 jaar geleden,A New Zealand man named Kereama Te Ua showed his support for the indigenous people of North Dakota when he performed a ...,2024-01-28 22:10:44.752657
/watch?v=txnG-gcLv6s&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@GoodWolfSessions,Good Wolf Sessions,"Trevor Hall ""Standing Rock"" Boston, MA 11.17.16",30K weergaven,7 jaar geleden,Trevor Hall encores with a new song dedicated to the water protectors fighting the black snake up at Standing Rock. Live at The ...,2024-01-28 22:10:44.760190
/watch?v=H1Y-McaNG9U&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@JennyMusic,JennyMusic,EPIC ROCK | ''Last One Standing'' by WattWhite,"1,6 mln. weergaven",6 jaar geleden,"Watt White Name: Last One Standing Album: Watt White EP Composer / Band : Watt White Instruments: Drums, Eletric Guitar ...",2024-01-28 22:10:44.763341
/watch?v=lhtkz8PBG7g&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCSBBlaJJ-tk9zg_1VTh0ndw,Zee Ministries,ZEE - Standing On The Rock (Official Music Video),346K weergaven,3 jaar geleden,ZEE - Standing On The Rock (Official Music Video) Subscribe to this channel: ...,2024-01-28 22:10:44.765826
/watch?v=1kQvOANqDNY&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ParvatiRecords,Parvati Records,Archaic - Standing Rock [Video Clip],21K weergaven,4 jaar geleden,Parvati Records is an independent record label started in Denmark during the summer 2000 by Dj Giuseppe with the wish to ...,2024-01-28 22:10:44.778901
/watch?v=qJZ1-LAFOTo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@Vox,Vox,"The fight over the Dakota Access Pipeline, explained",446K weergaven,7 jaar geleden,How Native Americans and environmentalists stopped a $3.8 billion oil pipeline. Subscribe to our channel! http://goo.gl/0bsAjO ...,2024-01-28 22:10:44.784380
/watch?v=V-T83JD3WMM&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@MTVImpact,MTV Impact,"Five Years Later, Standing Rock Continues with New Frontlines | Need To Know","3,4K weergaven",1 jaar geleden,"Could Indigenous tribes get justice from TigerSwan, the private surveillance company hired to infiltrate Standing Rock? And what ...",2024-01-28 22:10:44.787290
